Team,Round,Km,From,To
Guangzhou Loong Lions,38,1132,Nanjing,Guangzhou
Guangzhou Loong Lions,39,0,Guangzhou,Guangzhou
Guangzhou Loong Lions,40,2551,Guangzhou,Changchun
Guangzhou Loong Lions,41,2551,Changchun,Guangzhou
Guangzhou Loong Lions,42,0,Guangzhou,Guangzhou
Jiangsu Dragons,1,0,Suzhou,Suzhou
Jiangsu Dragons,2,752,Suzhou,Jinjiang
Jiangsu Dragons,3,752,Jinjiang,Suzhou
Jiangsu Dragons,4,0,Suzhou,Suzhou
Jiangsu Dragons,5,941,Suzhou,Tianjin
Jiangsu Dragons,6,976,Tianjin,Shanghai
Jiangsu Dragons,7,270,Shanghai,Nanjing
Jiangsu Dragons,8,189,Nanjing,Suzhou
Jiangsu Dragons,9,0,Suzhou,Suzhou
Jiangsu Dragons,10,1036,Suzhou,Taiyuan
Jiangsu Dragons,11,1260,Taiyuan,Changchun
Jiangsu Dragons,12,1453,Changchun,Suzhou
Jiangsu Dragons,13,3194,Suzhou,Urumqi
Jiangsu Dragons,14,2411,Urumqi,Beijing
Jiangsu Dragons,15,0,Beijing,Beijing
Jiangsu Dragons,16,1028,Beijing,Suzhou
Jiangsu Dragons,17,0,Suzhou,Suzhou
Jiangsu Dragons,18,0,Suzhou,Suzhou
Jiangsu Dragons,19,184,Suzhou,Ningbo
Jiangsu Dragons,20,141,Ningbo,Hangzhou
Jiangsu Dragons,21,121,Hangzhou,Suzhou
Jiangsu Dragons,22,0,Suzhou,Suzhou
Jiangsu Dragons,23,1195,Suzhou,Shenyang
Jiangsu Dragons,24,797,Shenyang,Jinan
Jiangsu Dragons,25,681,Jinan,Suzhou
Jiangsu Dragons,26,1576,Suzhou,Chengdu
Jiangsu Dragons,27,1632,Chengdu,Qingdao
Jiangsu Dragons,28,531,Qingdao,Suzhou
Jiangsu Dragons,29,0,Suzhou,Suzhou
Jiangsu Dragons,30,1168,Suzhou,Shenzhen
Jiangsu Dragons,31,1168,Shenzhen,Suzhou
Jiangsu Dragons,32,121,Suzhou,Hangzhou
Jiangsu Dragons,33,1027,Hangzhou,Dongguan
Jiangsu Dragons,34,1121,Dongguan,Nanjing
Jiangsu Dragons,35,189,Nanjing,Suzhou
Jiangsu Dragons,36,0,Suzhou,Suzhou
Jiangsu Dragons,37,1168,Suzhou,Shenzhen
Jiangsu Dragons,38,104,Shenzhen,Guangzhou
Jiangsu Dragons,39,1161,Guangzhou,Suzhou
Jiangsu Dragons,40,0,Suzhou,Suzhou
Jiangsu Dragons,41,0,Suzhou,Suzhou
Jiangsu Dragons,42,0,Suzhou,Suzhou
Jilin Northeast Tigers,1,1440,Changchun,Shanghai
Jilin Northeast Tigers,2,1213,Shanghai,Shenzhen
Jilin Northeast Tigers,3,2582,Shenzhen,Changchun
Jilin Northeast Tigers,4,0,Changchun,Changchun
Jilin Northeast Tigers,5,0,Changchun,Changchun
Jilin Northeast Tigers,6,0,Changchun,Changchun
Jilin Northeast Tigers,7,2551,Changchun,Guangzhou
Jilin Northeast Tigers,8,568,Guangzhou,Jinjiang
Jilin Northeast Tigers,9,810,Jinjiang,Nanjing
Jilin Northeast Tigers,10,1159,Nanjing,Shenyang
Jilin Northeast Tigers,11,272,Shenyang,Changchun
Jilin Northeast Tigers,12,0,Changchun,Changchun
Jilin Northeast Tigers,13,0,Changchun,Changchun
Jilin Northeast Tigers,14,1064,Changchun,Jinan
Jilin Northeast Tigers,15,310,Jinan,Qingdao
Jilin Northeast Tigers,16,1632,Qingdao,Chengdu
Jilin Northeast Tigers,17,2378,Chengdu,Changchun
Jilin Northeast Tigers,18,0,Changchun,Changchun
Jilin Northeast Tigers,19,828,Changchun,Tianjin
Jilin Northeast Tigers,20,103,Tianjin,Beijing
Jilin Northeast Tigers,21,1894,Beijing,Dongguan
