Team,Round,Km,From,To
Tianjin Pioneers,11,0,Tianjin,Tianjin
Guangzhou Loong Lions,11,449,Taiyuan,Tianjin
Zhejiang Golden Bulls,11,0,Hangzhou,Hangzhou
Shenzhen Leopards,11,1052,Shenzhen,Hangzhou
Guangdong Southern Tigers,11,1894,Beijing,Dongguan
Beijing Royal Fighters,11,62,Shenzhen,Dongguan
Shandong Hi-Speed Kirin,11,0,Jinan,Jinan
Nanjing Monkey Kings,11,536,Nanjing,Jinan
Qingdao Eagles,11,644,Hangzhou,Qingdao
Sichuan Blue Whales,11,1267,Jinjiang,Qingdao
Guangdong Southern Tigers,12,0,Dongguan,Dongguan
Xinjiang Flying Tigers,12,526,Jinjiang,Dongguan
Shanxi Loongs,12,0,Taiyuan,Taiyuan
Beijing Royal Fighters,12,1655,Dongguan,Taiyuan
Shanghai Sharks,12,0,Shanghai,Shanghai
Shandong Hi-Speed Kirin,12,730,Jinan,Shanghai
Nanjing Monkey Kings,12,536,Jinan,Nanjing
Zhejiang Golden Bulls,12,237,Hangzhou,Nanjing
Tianjin Pioneers,12,0,Tianjin,Tianjin
Shenzhen Leopards,12,1040,Hangzhou,Tianjin
Zhejiang Guangsha Lions,12,0,Hangzhou,Hangzhou
Jilin Northeast Tigers,12,1315,Shenyang,Hangzhou
Liaoning Flying Leopards,12,0,Shenyang,Shenyang
Guangzhou Loong Lions,12,581,Tianjin,Shenyang
Qingdao Eagles,12,0,Qingdao,Qingdao
Jiangsu Dragons,12,724,Taiyuan,Qingdao
Fujian Sturgeons,12,0,Jinjiang,Jinjiang
Beijing Ducks,12,631,Hangzhou,Jinjiang
Ningbo Rockets,12,152,Shanghai,Ningbo
Sichuan Blue Whales,12,698,Qingdao,Ningbo
Guangdong Southern Tigers,13,0,Dongguan,Dongguan
Zhejiang Golden Bulls,13,1121,Nanjing,Dongguan
Qingdao Eagles,13,0,Qingdao,Qingdao
Shenzhen Leopards,13,451,Tianjin,Qingdao
Shanghai Sharks,13,0,Shanghai,Shanghai
Zhejiang Guangsha Lions,13,165,Hangzhou,Shanghai
Ningbo Rockets,13,0,Ningbo,Ningbo
Beijing Ducks,13,638,Jinjiang,Ningbo
Fujian Sturgeons,13,0,Jinjiang,Jinjiang
Shandong Hi-Speed Kirin,13,772,Shanghai,Jinjiang
Guangzhou Loong Lions,13,2281,Shenyang,Guangzhou
Xinjiang Flying Tigers,13,51,Dongguan,Guangzhou
Jilin Northeast Tigers,13,1573,Hangzhou,Changchun
Jiangsu Dragons,13,959,Qingdao,Changchun
Nanjing Monkey Kings,13,0,Nanjing,Nanjing
Liaoning Flying Leopards,13,1159,Shenyang,Nanjing
Shanxi Loongs,13,0,Taiyuan,Taiyuan
Sichuan Blue Whales,13,1216,Ningbo,Taiyuan
Beijing Royal Fighters,13,403,Taiyuan,Beijing
Tianjin Pioneers,13,103,Tianjin,Beijing
Zhejiang Guangsha Lions,14,165,Shanghai,Hangzhou
Zhejiang Golden Bulls,14,1027,Dongguan,Hangzhou
Ningbo Rockets,14,0,Ningbo,Ningbo
Guangdong Southern Tigers,14,1086,Dongguan,Ningbo
Jiangsu Dragons,14,1453,Changchun,Suzhou
Shenzhen Leopards,14,531,Qingdao,Suzhou
Sichuan Blue Whales,14,1124,Taiyuan,Chengdu
Xinjiang Flying Tigers,14,1231,Guangzhou,Chengdu
Guangzhou Loong Lions,14,0,Guangzhou,Guangzhou
Shandong Hi-Speed Kirin,14,568,Jinjiang,Guangzhou
Shanxi Loongs,14,0,Taiyuan,Taiyuan
Jilin Northeast Tigers,14,1260,Changchun,Taiyuan
Qingdao Eagles,14,0,Qingdao,Qingdao
Beijing Ducks,14,698,Ningbo,Qingdao
Beijing Royal Fighters,14,0,Beijing,Beijing
Fujian Sturgeons,14,1693,Jinjiang,Beijing
Tianjin Pioneers,14,103,Beijing,Tianjin
Liaoning Flying Leopards,14,820,Nanjing,Tianjin
Shanghai Sharks,14,0,Shanghai,Shanghai
Nanjing Monkey Kings,14,270,Nanjing,Shanghai
Qingdao Eagles,15,0,Qingdao,Qingdao
Ningbo Rockets,15,698,Ningbo,Qingdao
Beijing Ducks,15,551,Qingdao,Beijing
Shanghai Sharks,15,1067,Shanghai,Beijing
Zhejiang Guangsha Lions,15,0,Hangzhou,Hangzhou
Guangdong Southern Tigers,15,141,Ningbo,Hangzhou
Beijing Royal Fighters,15,0,Beijing,Beijing
Shanxi Loongs,15,403,Taiyuan,Beijing
Guangzhou Loong Lions,15,0,Guangzhou,Guangzhou
Jiangsu Dragons,15,1161,Suzhou,Guangzhou
Jilin Northeast Tigers,15,1260,Taiyuan,Changchun
Nanjing Monkey Kings,15,1440,Shanghai,Changchun
Shandong Hi-Speed Kirin,15,1546,Guangzhou,Jinan
Liaoning Flying Leopards,15,301,Tianjin,Jinan
Sichuan Blue Whales,15,0,Chengdu,Chengdu
Shenzhen Leopards,15,1576,Suzhou,Chengdu
Tianjin Pioneers,15,0,Tianjin,Tianjin
Xinjiang Flying Tigers,15,1552,Chengdu,Tianjin
Fujian Sturgeons,15,1693,Beijing,Jinjiang
Zhejiang Golden Bulls,15,631,Hangzhou,Jinjiang
