Round,Home Team,Away Team
6,Fujian Sturgeons,Guangzhou Loong Lions
6,Qingdao Eagles,Beijing Royal Fighters
7,Ningbo Rockets,Zhejiang Guangsha Lions
7,Beijing Royal Fighters,Beijing Ducks
7,Guangdong Southern Tigers,Jilin Northeast Tigers
7,Qingdao Eagles,Liaoning Flying Leopards
7,Nanjing Monkey Kings,Guangzhou Loong Lions
7,Shanxi Loongs,Xinjiang Flying Tigers
7,Shenzhen Leopards,Jiangsu Dragons
7,Sichuan Blue Whales,Tianjin Pioneers
7,Zhejiang Golden Bulls,Shandong Hi-Speed Kirin
7,Shanghai Sharks,Fujian Sturgeons
8,Liaoning Flying Leopards,Zhejiang Guangsha Lions
8,Beijing Ducks,Xinjiang Flying Tigers
8,Fujian Sturgeons,Jiangsu Dragons
8,Beijing Royal Fighters,Tianjin Pioneers
8,Shenzhen Leopards,Jilin Northeast Tigers
8,Zhejiang Golden Bulls,Guangdong Southern Tigers
8,Shandong Hi-Speed Kirin,Guangzhou Loong Lions
8,Sichuan Blue Whales,Qingdao Eagles
8,Ningbo Rockets,Shanxi Loongs
8,Nanjing Monkey Kings,Shanghai Sharks
9,Jiangsu Dragons,Guangdong Southern Tigers
9,Shenzhen Leopards,Xinjiang Flying Tigers
9,Ningbo Rockets,Guangzhou Loong Lions
9,Fujian Sturgeons,Shanxi Loongs
9,Liaoning Flying Leopards,Beijing Ducks
9,Nanjing Monkey Kings,Qingdao Eagles
9,Zhejiang Golden Bulls,Jilin Northeast Tigers
9,Tianjin Pioneers,Shandong Hi-Speed Kirin
9,Sichuan Blue Whales,Shanghai Sharks
9,Beijing Royal Fighters,Zhejiang Guangsha Lions
10,Liaoning Flying Leopards,Shanghai Sharks
10,Shenzhen Leopards,Beijing Royal Fighters
10,Beijing Ducks,Guangdong Southern Tigers
10,Tianjin Pioneers,Zhejiang Guangsha Lions
10,Zhejiang Golden Bulls,Qingdao Eagles
10,Nanjing Monkey Kings,Jilin Northeast Tigers
10,Shandong Hi-Speed Kirin,Xinjiang Flying Tigers
10,Shanxi Loongs,Guangzhou Loong Lions
10,Fujian Sturgeons,Sichuan Blue Whales
10,Ningbo Rockets,Jiangsu Dragons
11,Shanghai Sharks,Ningbo Rockets
11,Zhejiang Guangsha Lions,Beijing Ducks
11,Fujian Sturgeons,Xinjiang Flying Tigers
11,Liaoning Flying Leopards,Jilin Northeast Tigers
11,Shanxi Loongs,Jiangsu Dragons
11,Tianjin Pioneers,Guangzhou Loong Lions
11,Zhejiang Golden Bulls,Shenzhen Leopards
11,Guangdong Southern Tigers,Beijing Royal Fighters
11,Shandong Hi-Speed Kirin,Nanjing Monkey Kings
11,Qingdao Eagles,Sichuan Blue Whales
12,Guangdong Southern Tigers,Xinjiang Flying Tigers
12,Shanxi Loongs,Beijing Royal Fighters
12,Shanghai Sharks,Shandong Hi-Speed Kirin
12,Nanjing Monkey Kings,Zhejiang Golden Bulls
12,Tianjin Pioneers,Shenzhen Leopards
12,Zhejiang Guangsha Lions,Jilin Northeast Tigers
12,Liaoning Flying Leopards,Guangzhou Loong Lions
12,Qingdao Eagles,Jiangsu Dragons
12,Fujian Sturgeons,Beijing Ducks
12,Ningbo Rockets,Sichuan Blue Whales
13,Guangdong Southern Tigers,Zhejiang Golden Bulls
13,Qingdao Eagles,Shenzhen Leopards
13,Shanghai Sharks,Zhejiang Guangsha Lions
13,Ningbo Rockets,Beijing Ducks
13,Fujian Sturgeons,Shandong Hi-Speed Kirin
13,Guangzhou Loong Lions,Xinjiang Flying Tigers
13,Jilin Northeast Tigers,Jiangsu Dragons
13,Nanjing Monkey Kings,Liaoning Flying Leopards
13,Shanxi Loongs,Sichuan Blue Whales
13,Beijing Royal Fighters,Tianjin Pioneers
14,Zhejiang Guangsha Lions,Zhejiang Golden Bulls
14,Ningbo Rockets,Guangdong Southern Tigers
14,Jiangsu Dragons,Shenzhen Leopards
14,Sichuan Blue Whales,Xinjiang Flying Tigers
14,Guangzhou Loong Lions,Shandong Hi-Speed Kirin
14,Shanxi Loongs,Jilin Northeast Tigers
14,Qingdao Eagles,Beijing Ducks
14,Beijing Royal Fighters,Fujian Sturgeons
14,Tianjin Pioneers,Liaoning Flying Leopards
14,Shanghai Sharks,Nanjing Monkey Kings
15,Qingdao Eagles,Ningbo Rockets
15,Beijing Ducks,Shanghai Sharks
15,Zhejiang Guangsha Lions,Guangdong Southern Tigers
15,Beijing Royal Fighters,Shanxi Loongs
15,Guangzhou Loong Lions,Jiangsu Dragons
15,Jilin Northeast Tigers,Nanjing Monkey Kings
15,Shandong Hi-Speed Kirin,Liaoning Flying Leopards
15,Sichuan Blue Whales,Shenzhen Leopards
15,Tianjin Pioneers,Xinjiang Flying Tigers
15,Fujian Sturgeons,Zhejiang Golden Bulls
16,Jilin Northeast Tigers,Xinjiang Flying Tigers
16,Liaoning Flying Leopards,Ningbo Rockets
16,Shandong Hi-Speed Kirin,Beijing Royal Fighters
16,Beijing Ducks,Shenzhen Leopards
16,Sichuan Blue Whales,Nanjing Monkey Kings
16,Zhejiang Golden Bulls,Fujian Sturgeons
16,Guangdong Southern Tigers,Qingdao Eagles
16,Jiangsu Dragons,Guangzhou Loong Lions
16,Tianjin Pioneers,Shanxi Loongs
16,Zhejiang Guangsha Lions,Shanghai Sharks
17,Tianjin Pioneers,Fujian Sturgeons
17,Zhejiang Golden Bulls,Guangzhou Loong Lions
17,Beijing Royal Fighters,Jiangsu Dragons
17,Guangdong Southern Tigers,Shanghai Sharks
17,Qingdao Eagles,Jilin Northeast Tigers
17,Liaoning Flying Leopards,Xinjiang Flying Tigers
17,Nanjing Monkey Kings,Shenzhen Leopards
17,Beijing Ducks,Shanxi Loongs
17,Sichuan Blue Whales,Zhejiang Guangsha Lions
17,Shandong Hi-Speed Kirin,Ningbo Rockets
18,Jiangsu Dragons,Shandong Hi-Speed Kirin
18,Sichuan Blue Whales,Jilin Northeast Tigers
